レアリティ,キャラクター名,カード名,タイプ,所持スキル
SSR,アイネスフウジン,飛び出せ、キラメケ,根性,"食い下がり,スピードイーター,勢い任せ,スリップストリーム,遊びはおしまいっ！,急ぎ足,じゃじゃウマ娘,2021.02.24"
SSR,ウイニングチケット,B・N・Winner！！,根性,"良バ場○,曇りの日○,位置取り押し上げ,差し切り体勢,外差し準備,差しコーナー○,乗り換え上手,2021.02.24"
SSR,ウオッカ,ロード・オブ・ウオッカ,パワー,"東京レース場○,直線巧者,直線加速,直線回復,末脚,差し切り体勢,上昇気流,マイル直線○,中距離直線○,垂れウマ回避,好転一息,2021.02.24"
SSR,エアシャカール,7センチの先へ,賢さ,"追い上げ,冷静,策士,ペースキープ,まなざし,直線一気,勝利への執念,2021.02.24"
SSR,エルコンドルパサー,パッションチャンピオーナ！,パワー,"根幹距離○,晴れの日○,抜け出し準備,テンポアップ,中距離直線○,ホークアイ,先行直線○,スタミナキープ,キラーチューン,2021.02.24"
SSR,グラスワンダー,千紫万紅にまぎれぬ一凛,根性,"中山レース場○,対抗意識○,末脚,位置取り押し上げ,差し切り体勢,上昇気流,先行焦り,束縛,先行駆け引き,徹底マーク○,豪脚,2021.02.24"
SSR,ゴールドシチー,RUN（my）way,スピード,"［RUNway］ゴールドシチー,札幌レース場○,展開窺い,アクセラレーション,小休憩,慧眼,2021.02.24"
SSR,ゴールドシップ,不沈艦の進撃,スタミナ,"後方待機,直線一気,内弁慶,追い上げ,目くらまし,お見通し,下校の楽しみ,策士,まなざし,追込のコツ○,登山家,ウマ好み,地固め,シンパシー,阪神レース場○,曲線のソムリエ,2021.02.24"
SSR,サイレンススズカ,輝く景色の、その先に,スピード,"集中力,先駆け,急ぎ足,押し切り準備,前途洋々,逃げ直線○,逃げコーナー○,逃げのコツ○,先頭プライド,左回り○,リスタート,逃亡者,2021.02.24"
SSR,サクラバクシンオー,はやい！うまい！はやい！,スピード,"スプリントギア,逃げ駆け引き,逃げ焦り,短距離直線○,短距離コーナー○,大きなリード,善後策,後方釘付,詰め寄り,スプリントターボ,2021.02.24"
SSR,スーパークリーク,一粒の安らぎ,スタミナ,"良バ場○,コーナー回復○,ペースアップ,末脚,先行ためらい,深呼吸,円弧のマエストロ,2021.02.24"
SSR,スペシャルウィーク,日本一のステージを,根性,"道悪○,雨の日○,末脚,外差し準備,食い下がり,栄養補給,差しのコツ○,別腹タンク,全身全霊,2021.02.24"
SSR,スマートファルコン,これが私のウマドル道☆,パワー,"道悪○,曇りの日○,外枠得意○,コーナー回復○,大井レース場○,二の矢,リスタート,逃げのコツ○,押し切り準備,地固め,集中力,レコメンド,ポジションセンス,注目の踊り子,2021.02.24"
SSR,セイウンスカイ,待望の大謀,スタミナ,"内枠得意○,伏兵○,トリック,差し駆け引き,先行ためらい,尻尾上がり,リードキープ,二の矢,急ぎ足,脱出術,2021.02.24"
SSR,タマモクロス,天をも切り裂くイナズマ娘！,スタミナ,"前途洋々,差し駆け引き,差し焦り,中距離コーナー○,イナズマステップ,軽やかステップ,十万バリキ,ウマ込み冷静,迅速果断,2021.02.24"
SSR,トウカイテイオー,夢は掲げるものなのだっ！,スピード,"ポジションセンス,垂れウマ回避,臨機応変,イナズマステップ,軽やかステップ,巧みなステップ,先行直線○,一陣の風,2021.02.24"
SSR,ニシノフラワー,まだ小さな蕾でも,スピード,"阪神レース場○,根幹距離○,良バ場○,上昇気流,先行コーナー○,直線巧者,ハヤテ一文字,2021.02.24"
SSR,ビコーペガサス,必殺！Wキャロットパンチ！,スピード,"外枠得意○,様子見,詰め寄り,積極策,上昇気流,仕掛け準備,抜け駆け禁止,短距離直線○,プランX,2021.02.24"
SSR,ファインモーション,感謝は指先まで込めて,賢さ,"右回り○,秋ウマ娘○,外枠得意○,直線加速,垂れウマ回避,コーナー巧者○,抜け出し準備,スピードスター,2021.02.24"
SSR,駿川たづな,ようこそ、トレセン学園へ！,友人,"なし,展開窺い,尻尾上がり,集中力,コンセントレーション,2021.02.24"
SSR,ハルウララ,うらら〜な休日,根性,"なし,伏兵○,どこ吹く風,2021.02.24"
SSR,メジロマックイーン,『エース』として,スタミナ,"京都レース場○,道悪○,雨の日○,コーナー巧者○,直線巧者,スタミナキープ,抜け出し準備,深呼吸,内弁慶,別腹タンク,先駆け,クールダウン,2021.02.24"
SSR,ライスシャワー,『幸せ』が舞う時,スタミナ,"京都レース場○,おひとり様○,深呼吸,先行駆け引き,先行けん制,先行焦り,直滑降,かく乱,登山家,良バ場○,別腹タンク,火事場のバ鹿力,2021.02.24"
SSR,オグリキャップ,『愛してもらうんだぞ』,パワー,"曇りの日○,コーナー巧者○,コーナー加速○,集中力,垂れウマ回避,末脚,テンポアップ,アクセラレーション,栄養補給,地固め,中山レース場○,スタミナキープ,外差し準備,豪脚,2021.03.02"
SSR,スペシャルウィーク,夕焼けはあこがれの色,スピード,"道悪○,雨の日○,末脚,外差し準備,食い下がり,栄養補給,差しのコツ○,別腹タンク,ふり絞り,食いしん坊,2021.03.02"
SSR,ツインターボ,ターボエンジン全開宣言！,スピード,"対抗意識○,徹底マーク○,先駆け,急ぎ足,先頭プライド,勢い任せ,展開窺い,先手必勝,2021.03.09"
SSR,メジロパーマー,バカと笑え,根性,"中山レース場○,阪神レース場○,先駆け,急ぎ足,先行焦り,勢い任せ,シンパシー,道悪○,逃げのコツ○,一匹狼,リードキープ,先陣の心得,2021.03.18"
SSR,キタサンブラック,迫る熱に押されて,スピード,"コーナー巧者○,コーナー回復○,直線回復,集中力,別腹タンク,長距離コーナー○,逃げ直線○,危険回避,直線巧者,弧線のプロフェッサー,2021.03.30"
SSR,サトノダイヤモンド,その背中を越えて,スタミナ,"良バ場○,晴れの日○,逃げ焦り,中距離コーナー○,束縛,小休憩,読解力,逃げためらい,鋼の意志,2021.03.30"
